Date,Service,Description,Environment,Cost,
2025-12-01,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,76.80,
2025-12-02,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,76.80,
2025-12-03,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,76.80,
2025-12-04,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,76.80,
2025-12-05,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,76.80,
2025-12-06,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,76.80,
2025-12-07,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,76.80,
2025-12-08,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,76.80,
2025-12-09,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,76.80,
2025-12-10,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,76.80,
2025-12-11,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,49.17,
2025-12-12,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-12-13,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-12-01,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-02,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-03,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-04,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-05,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-06,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-07,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-08,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-09,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-10,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-11,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-12,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-13,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-01,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,prd-smartmobility,6.68,
2025-12-02,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,prd-smartmobility,6.68,
2025-12-03,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,prd-smartmobility,6.68,
2025-12-04,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,prd-smartmobility,6.68,
2025-12-05,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,prd-smartmobility,6.68,
2025-12-06,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,prd-smartmobility,6.68,
2025-12-07,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,prd-smartmobility,6.68,
2025-12-08,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,prd-smartmobility,6.68,
2025-12-09,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,prd-smartmobility,6.68,
2025-12-10,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,prd-smartmobility,6.68,
2025-12-11,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,prd-smartmobility,6.68,
2025-12-12,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,prd-smartmobility,6.68,
2025-12-13,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,prd-smartmobility,6.68,
2025-12-01,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,prd-smartmobility,1.10,
2025-12-02,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,prd-smartmobility,1.10,
2025-12-03,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,prd-smartmobility,1.10,
2025-12-04,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,prd-smartmobility,1.10,
2025-12-05,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,prd-smartmobility,1.10,
2025-12-06,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,prd-smartmobility,1.10,
2025-12-07,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,prd-smartmobility,1.10,
2025-12-08,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,prd-smartmobility,1.10,
2025-12-09,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,prd-smartmobility,1.10,
2025-12-10,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,prd-smartmobility,1.10,
2025-12-11,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,prd-smartmobility,1.10,
2025-12-12,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,prd-smartmobility,1.10,
2025-12-13,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,prd-smartmobility,1.10,
