Date,Service,Description,Cost,
2025-11-19,Elastic Load Balancing,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Osaka),0.00,
2025-11-19,Elastic Load Balancing,GB - Asia Pacific (Seoul) datatransfer to Argentina (Buenos Aires),0.00,
2025-11-19,CloudWatch,1000 metrics requested using GetMetricData API - Asia Pacific (Seoul),2.22,
2025-11-19,CloudWatch,1000 requests,0.16,
2025-11-19,CloudWatch,Metric-month for the next 240000 metrics - Asia Pacific (Seoul),0.14,
2025-11-19,CloudWatch,Thousand Requests for CloudWatch API in US West (N. California),0.00,
2025-11-19,CloudWatch,GB-mo of log storage - Asia Pacific (Seoul),0.00,
2025-11-19,S3,GB - first 50 TB / month of storage used,0.63,
2025-11-19,S3,1000 PUT COPY POST or LIST requests,0.00,
2025-11-19,S3,10000 GET and all other requests,0.00,
2025-11-19,S3,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-19,Web Application Firewall,Web ACL created (prorated hourly),0.33,
2025-11-19,Web Application Firewall,Rule created (prorated hourly),0.20,
2025-11-19,Web Application Firewall,Million requests processed,0.00,
2025-11-19,Key Management Service,Customer managed KMS key version in Asia Pacific (Seoul),0.03,
2025-11-19,Key Management Service,10000 KMS requests in Asia Pacific (Seoul),0.00,
2025-11-19,Key Management Service,10000 KMS requests in US East (N. Virginia),0.00,
2025-11-19,Key Management Service,10000 KMS requests in Asia Pacific (Singapore),0.00,
2025-11-19,Key Management Service,10000 KMS requests in Asia Pacific (Jakarta),0.00,
2025-11-19,Key Management Service,10000 KMS requests in Asia Pacific (Sydney),0.00,
2025-11-19,Key Management Service,10000 KMS requests in EU (London),0.00,
2025-11-19,Key Management Service,10000 KMS requests in US West (N. California),0.00,
2025-11-19,Key Management Service,10000 KMS requests in Asia Pacific (Mumbai),0.00,
2025-11-19,Key Management Service,10000 KMS requests in South America (Sao Paulo),0.00,
2025-11-19,Key Management Service,10000 KMS requests in US West (Oregon),0.00,
2025-11-19,Key Management Service,10000 KMS requests in EU (Stockholm),0.00,
2025-11-19,Key Management Service,10000 KMS requests in Asia Pacific (Osaka),0.00,
2025-11-19,Key Management Service,10000 KMS requests in EU (Ireland),0.00,
2025-11-19,Key Management Service,10000 KMS requests in Asia Pacific (Tokyo),0.00,
2025-11-19,Key Management Service,10000 KMS requests in EU (Paris),0.00,
2025-11-19,Key Management Service,10000 KMS requests in EU (Frankfurt),0.00,
2025-11-19,Key Management Service,10000 KMS requests in US East (Ohio),0.00,
2025-11-19,Key Management Service,10000 KMS requests in Canada (Central),0.00,
2025-11-19,CloudFront,GB - data transfer out under the global monthly free tier,0.00,
2025-11-19,CloudFront,10000 Requests for HTTPS GET and HEAD requests in Asia Pacific,0.00,
2025-11-19,CloudFront,10000 Requests for HTTPS GET and HEAD requests in United States,0.00,
2025-11-19,CloudFront,10000 Requests for HTTPS GET and HEAD requests in Europe,0.00,
2025-11-19,Events,Million EventBridge custom events received in Asia Pacific (Seoul),0.00,
2025-11-19,Glue,1000000 requests for AWS Glue Data Catalog request,0.00,
2025-11-19,SNS,1000000 Amazon SNS API Requests per month thereafter,0.00,
2025-11-19,SimpleDB,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-19,Elastic File System,USD GB-Mo for Standard storage (APN2),0.00,
2025-11-19,SWF,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-19,SWF,GB for DataTransfer-Out-Bytes in EU (Stockholm),0.00,
2025-11-19,Glacier,GB - South America (Sao Paulo) data transfer to Asia Pacific (Sydney),0.00,
2025-11-19,Glacier,GB - Asia Pacific (Osaka) data transfer to Asia Pacific (Sydney),0.00,
2025-11-19,Glacier,GB - Asia Pacific (Tokyo) data transfer to Asia Pacific (Sydney),0.00,
2025-11-19,Glacier,GB - Asia Pacific (Singapore) data transfer to Asia Pacific (Sydney),0.00,
2025-11-19,Glacier,GB - Asia Pacific (Mumbai) data transfer to Asia Pacific (Sydney),0.00,
2025-11-19,Glacier,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Sydney),0.00,
2025-11-19,Glacier,GB - Canada (Central) data transfer to Asia Pacific (Sydney),0.00,
2025-11-19,Glacier,GB - US West (Northern California) data transfer to Asia Pacific (Sydney),0.00,
2025-11-19,Glacier,GB - US West (Oregon) data transfer to Asia Pacific (Sydney),0.00,
2025-11-19,Glacier,GB - EU (Germany) data transfer to Asia Pacific (Sydney),0.00,
2025-11-19,Glacier,GB - EU (London) data transfer to Asia Pacific (Sydney),0.00,
2025-11-19,Glacier,GB - US East (Northern Virginia) data transfer to Asia Pacific (Sydney),0.00,
2025-11-19,Glacier,GB for APS2-AWS-Out-Bytes in EU (Stockholm),0.00,
2025-11-19,Glacier,GB - EU (Ireland) data transfer to Asia Pacific (Sydney),0.00,
2025-11-19,Glacier,GB - US East (Ohio) data transfer to Asia Pacific (Sydney),0.00,
2025-11-19,Glacier,GB - EU (Paris) data transfer to Asia Pacific (Sydney),0.00,


Total,Daily Max,Daily Min,Average,
$362.40,$362.40,$362.40,$362.40,


Cost by Group,
Service,Cost for Service,Description,Cost for Description,
Elastic Load Balancing,,Application LoadBalancer-hour (or partial hour),4.32,
Elastic Load Balancing,,Hrs for LoadBalancerUsage:LoadBalancing:Application in Asia Pacific (Jakarta),0.60,
Elastic Load Balancing,,Used Application load balancer capacity unit-hour (or partial hour),0.01,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to US East (Northern Virginia),0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to US East (Ohio),0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to US West (Oregon),0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to EU (Germany),0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Tokyo),0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to US West (Northern California),0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Osaka),0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) datatransfer to Argentina (Buenos Aires),0.00,
Elastic Load Balancing,4.93,
RDS,,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
RDS,,GB-month of provisioned GP3 storage running SQL Server,50.33,
RDS,,IOPS-month of provisioned GP3 IOPS running SQL Server,6.90,
RDS,,MiBps-month of provisioned GP3 Storage throughput running SQL Server,1.14,
RDS,135.17,
EC2,,On Demand Linux t2.large Instance Hour,33.10,
EC2,,On Demand Windows m5a.xlarge Instance Hour,28.51,
EC2,,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
EC2,,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),19.96,
EC2,,On Demand Linux t3.large Instance Hour,15.21,
EC2,,On Demand Linux t2.xlarge Instance Hour,11.06,
EC2,,On Demand RHEL m6i.large Instance Hour,10.57,
EC2,,On Demand Windows m5.xlarge Instance Hour,10.08,
EC2,,On Demand Linux t2.medium Instance Hour,8.29,
EC2,,On Demand RHEL m5a.xlarge Instance Hour,6.48,
EC2,,On Demand Linux c4.xlarge Instance Hour,5.45,
EC2,,On Demand Linux t3.xlarge Instance Hour,5.07,
EC2,,On Demand Linux c5.large Instance Hour,4.61,
EC2,,On Demand Linux c4.large Instance Hour,3.77,
EC2,,On Demand Linux t2.small Instance Hour,2.76,
EC2,,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Jakarta),1.76,
EC2,,On Demand Linux t3.medium Instance Hour,1.27,
EC2,,On Demand Linux t2.micro Instance Hour,0.35,
EC2,,GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,0.17,
EC2,,GB - Asia Pacific (Jakarta) data transfer to Asia Pacific (Seoul),0.10,
EC2,,GB-Month of snapshot data stored - Asia Pacific (Seoul),0.08,
