Date,Service,Description,Environment,Cost,
2025-11-01,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-02,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-03,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-04,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,460.80,
2025-11-05,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,614.40,
2025-11-06,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,614.40,
2025-11-07,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,91.86,
2025-11-08,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-09,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-10,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-11,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-12,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-13,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-14,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-15,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-16,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-17,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-18,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-19,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-20,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-21,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-22,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-23,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-24,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-25,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-26,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-27,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-28,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-29,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-30,RDS,RDS db.r6i.8xlarge Multi-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-01,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-02,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-03,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-04,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-05,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-06,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-07,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,64.61,
2025-11-08,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.45,
2025-11-09,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-10,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-11,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-12,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-13,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-14,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,0.00,
2025-11-15,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,75.15,
2025-11-16,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,76.80,
2025-11-17,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,100.04,
2025-11-18,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,76.80,
