Date,Service,Description,Environment,Cost,
2026-01-01,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2026-01-02,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2026-01-03,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2026-01-04,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2026-01-05,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2026-01-01,EC2,On Demand Windows m5a.xlarge Instance Hour,dev-smartmobility,9.50,
2026-01-02,EC2,On Demand Windows m5a.xlarge Instance Hour,dev-smartmobility,9.50,
2026-01-03,EC2,On Demand Windows m5a.xlarge Instance Hour,dev-smartmobility,9.50,
2026-01-04,EC2,On Demand Windows m5a.xlarge Instance Hour,dev-smartmobility,9.50,
2026-01-05,EC2,On Demand Windows m5a.xlarge Instance Hour,dev-smartmobility,9.50,
2026-01-01,EC2,On Demand RHEL c6i.2xlarge Instance Hour,prd-smartmobility,23.96,
2026-01-02,EC2,On Demand RHEL c6i.2xlarge Instance Hour,prd-smartmobility,23.96,
2026-01-03,EC2,On Demand RHEL c6i.2xlarge Instance Hour,prd-smartmobility,23.96,
2026-01-04,EC2,On Demand RHEL c6i.2xlarge Instance Hour,prd-smartmobility,23.96,
2026-01-05,EC2,On Demand RHEL c6i.2xlarge Instance Hour,prd-smartmobility,23.96,
2026-01-01,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),prd-smartmobility,9.12,
2026-01-02,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),prd-smartmobility,9.12,
2026-01-03,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),prd-smartmobility,9.12,
2026-01-04,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),prd-smartmobility,9.12,
2026-01-05,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),prd-smartmobility,9.12,
2026-01-01,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),dev-smartmobility,2.35,
2026-01-02,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),dev-smartmobility,2.35,
2026-01-03,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),dev-smartmobility,2.35,
2026-01-04,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),dev-smartmobility,2.35,
2026-01-05,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),dev-smartmobility,2.35,
2026-01-01,EC2,On Demand RHEL m6i.large Instance Hour,prd-smartmobility,7.05,
2026-01-02,EC2,On Demand RHEL m6i.large Instance Hour,prd-smartmobility,7.05,
2026-01-03,EC2,On Demand RHEL m6i.large Instance Hour,prd-smartmobility,7.05,
2026-01-04,EC2,On Demand RHEL m6i.large Instance Hour,prd-smartmobility,7.05,
2026-01-05,EC2,On Demand RHEL m6i.large Instance Hour,prd-smartmobility,7.05,
2026-01-01,EC2,On Demand RHEL m6i.large Instance Hour,dev-smartmobility,3.52,
2026-01-02,EC2,On Demand RHEL m6i.large Instance Hour,dev-smartmobility,3.52,
2026-01-03,EC2,On Demand RHEL m6i.large Instance Hour,dev-smartmobility,3.52,
2026-01-04,EC2,On Demand RHEL m6i.large Instance Hour,dev-smartmobility,3.52,
2026-01-05,EC2,On Demand RHEL m6i.large Instance Hour,dev-smartmobility,3.52,
2026-01-01,EC2,On Demand Windows m5.xlarge Instance Hour,dev-smartmobility,10.08,
2026-01-02,EC2,On Demand Windows m5.xlarge Instance Hour,dev-smartmobility,10.08,
2026-01-03,EC2,On Demand Windows m5.xlarge Instance Hour,dev-smartmobility,10.08,
2026-01-04,EC2,On Demand Windows m5.xlarge Instance Hour,dev-smartmobility,10.08,
2026-01-05,EC2,On Demand Windows m5.xlarge Instance Hour,dev-smartmobility,10.08,
2026-01-01,EC2,On Demand RHEL m5a.xlarge Instance Hour,dev-smartmobility,6.48,
2026-01-02,EC2,On Demand RHEL m5a.xlarge Instance Hour,dev-smartmobility,6.48,
2026-01-03,EC2,On Demand RHEL m5a.xlarge Instance Hour,dev-smartmobility,6.48,
2026-01-04,EC2,On Demand RHEL m5a.xlarge Instance Hour,dev-smartmobility,6.48,
2026-01-05,EC2,On Demand RHEL m5a.xlarge Instance Hour,dev-smartmobility,6.48,
2026-01-01,EC2,GB - first 10 TB / month data transfer out beyond the global free tier,prd-smartmobility,0.00,
2026-01-02,EC2,GB - first 10 TB / month data transfer out beyond the global free tier,prd-smartmobility,0.00,
2026-01-03,EC2,GB - first 10 TB / month data transfer out beyond the global free tier,prd-smartmobility,0.00,
2026-01-04,EC2,GB - first 10 TB / month data transfer out beyond the global free tier,prd-smartmobility,0.01,
2026-01-05,EC2,GB - first 10 TB / month data transfer out beyond the global free tier,prd-smartmobility,0.24,
2026-01-01,EC2,GB - first 10 TB / month data transfer out beyond the global free tier,dev-smartmobility,0.00,
2026-01-02,EC2,GB - first 10 TB / month data transfer out beyond the global free tier,dev-smartmobility,0.00,
2026-01-03,EC2,GB - first 10 TB / month data transfer out beyond the global free tier,dev-smartmobility,0.00,
2026-01-04,EC2,GB - first 10 TB / month data transfer out beyond the global free tier,dev-smartmobility,0.00,
2026-01-05,EC2,GB - first 10 TB / month data transfer out beyond the global free tier,dev-smartmobility,0.02,
2026-01-01,EC2,GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,prd-smartmobility,0.01,
2026-01-02,EC2,GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,prd-smartmobility,0.01,
