Date,Service,Description,Environment,Cost,
2025-12-01,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-02,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-03,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-04,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-05,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-06,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-07,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-08,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-09,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-10,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-11,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-12,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-13,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-14,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-15,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-16,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-17,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-18,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,45.37,
2025-12-19,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-20,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-21,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-22,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-23,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-24,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
2025-12-25,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,47.23,
